"Wavelength","bxw2Absorbance","XVQN","BVQN"
505.5175798,0.370341353,0,53
506.1916549,0.373792611,0,52
506.9265349,0.380832089,0,51
507.7220957,0.391145736,0,50
508.5170751,0.393827127,0,49
509.3725565,0.401069032,0,48
510.2883954,0.410731841,0,47
511.2644369,0.420650397,0,46
512.2395977,0.423950717,0,45
513.3356007,0.436213024,0,44
514.430489,0.434638708,0,43
515.6457241,0.44239019,0,42
516.859583,0.451904699,0,41
518.1932382,0.464025366,0,40
519.5252282,0.47482706,0,39
520.9764089,0.483967751,0,38
522.4256079,0.489708836,0,37
523.9933371,0.500804463,0,36
525.6189019,0.507133092,0,35
527.3020235,0.509943724,0,34
529.0424129,0.512027675,0,33
530.8996295,0.504697118,0,32
532.8132882,0.505410034,0,31
534.7830586,0.496691236,0,30
536.8086003,0.495572031,0,29
538.9489564,0.510691416,0,28
541.1441203,0.518425755,0,27
543.4528427,0.509553346,0,26
545.8153271,0.481429619,0,25
548.2311605,0.470109388,0,24
550.7586257,0.434229266,0,23
553.3382839,0.407522771,0,22
556.0280773,0.385405733,0,21
558.8270563,0.342531764,0,20
561.73423,0.305535619,0,19
564.690686,0.271590294,0,18
567.7535991,0.237217572,0,17
570.8643633,0.209975718,0,16
574.1370634,0.174531181,0,15
577.4557049,0.14333363,0,14
545.1071598,0.322487151,1,28
547.406892,0.327351883,1,27
549.7601556,0.332313695,1,26
552.1665377,0.334602579,1,25
554.6840906,0.328506094,1,24
557.253606,0.334679166,1,23
559.990958,0.331019125,1,22
562.7207096,0.341972901,1,21
565.5585287,0.332986806,1,20
568.5034037,0.313771298,1,19
571.5542817,0.296164181,1,18
574.7100687,0.268209747,1,17
577.9125403,0.230307815,1,16
581.2180113,0.207453374,1,15
575.3399772,0.23247376,2,19
578.4832748,0.227983227,2,18
581.7298919,0.221506161,2,17
585.0786517,0.208329927,2,16
588.4718872,0.196763432,2,15
592.0214541,0.16983706,2,14
595.7254013,0.151960073,2,13
599.4701395,0.131819615,2,12
603.3105177,0.118981247,2,11
607.41098,0.096084838,2,10
611.21741,0.083560329,2,9
