"Wavelength","Absorbance","v'"
513.3964571,0.436879065,44
514.5520744,0.435194691,43
515.6457241,0.435619986,42
516.9202398,0.452995401,41
518.1932382,0.463278324,40
519.5252282,0.468386478,39
521.0368318,0.477556378,38
522.5462851,0.488771211,37
524.053588,0.501018349,36
525.7392143,0.495967938,35
527.4221432,0.510134825,34
529.1023747,0.513378813,33
530.9594846,0.496627887,32
532.8730332,0.50722044,31
534.8426902,0.497298792,30
536.8681149,0.501004968,29
539.0677343,0.496057836,28
541.2626436,0.502660721,27
543.4528427,0.504854288,26
545.8153271,0.477861063,25
548.290011,0.46958903,24
550.8173283,0.440476517,23
553.3968351,0.41750058,22
556.0864702,0.391920064,21
558.8852841,0.3603991,20
561.7922857,0.328932492,19
564.690686,0.299543988,18
567.7535991,0.271125189,17
570.9218754,0.249440832,16
574.1370634,0.22022669,15
577.4557049,0.190504039,14
